iter	Passed	Remaining
0	15	15516
1	32	16306
2	47	15733
3	63	15901
4	78	15634
5	92	15335
6	107	15271
7	119	14835
8	133	14750
9	148	14688
10	163	14694
11	178	14696
12	195	14853
13	211	14866
14	223	14644
15	236	14540
16	251	14515
17	267	14588
18	281	14533
19	296	14542
20	311	14523
21	325	14488
22	340	14476
23	355	14438
24	369	14427
25	385	14458
26	401	14482
27	416	14474
28	431	14459
29	447	14474
30	462	14453
31	477	14430
32	490	14383
33	505	14355
34	520	14363
35	536	14363
36	552	14377
37	568	14388
38	584	14395
39	599	14380
40	614	14370
41	629	14348
42	642	14308
43	657	14282
44	672	14269
45	686	14247
46	701	14230
47	716	14219
48	731	14193
49	745	14158
50	760	14142
51	774	14122
52	788	14089
53	802	14060
54	816	14020
55	832	14029
56	847	14012
57	861	13987
58	876	13976
59	890	13952
60	904	13928
61	919	13910
62	932	13870
63	948	13874
64	964	13871
65	979	13864
66	994	13850
67	1008	13829
68	1023	13806
69	1037	13789
70	1053	13786
71	1067	13758
72	1081	13737
73	1096	13716
74	1111	13710
75	1127	13702
76	1142	13689
77	1157	13677
78	1172	13666
79	1187	13654
80	1202	13642
81	1217	13627
82	1232	13611
83	1245	13587
84	1260	13571
85	1274	13549
86	1291	13552
87	1306	13540
88	1319	13504
89	1333	13487
90	1349	13481
91	1363	13460
92	1379	13454
93	1394	13443
94	1410	13436
95	1425	13427
96	1441	13420
97	1455	13399
98	1469	13376
99	1485	13373
100	1501	13368
101	1517	13357
102	1531	13341
103	1546	13325
104	1561	13312
105	1577	13304
106	1591	13279
107	1605	13260
108	1620	13249
109	1635	13230
110	1649	13213
111	1665	13203
112	1680	13191
113	1695	13174
114	1710	13162
115	1724	13141
116	1739	13124
117	1752	13101
118	1767	13087
119	1781	13063
120	1796	13049
121	1810	13031
122	1825	13017
123	1840	13002
124	1857	13002
125	1872	12987
126	1887	12972
127	1901	12954
128	1916	12937
129	1930	12922
130	1944	12900
131	1959	12886
132	1974	12871
133	1989	12855
134	2004	12841
135	2019	12829
136	2035	12824
137	2052	12817
138	2066	12798
139	2080	12777
140	2094	12760
141	2108	12739
142	2122	12719
143	2136	12701
144	2152	12689
145	2166	12671
146	2181	12657
147	2194	12635
148	2211	12630
149	2226	12617
150	2241	12600
151	2256	12586
152	2270	12571
153	2285	12557
154	2300	12542
155	2316	12535
156	2331	12520
157	2346	12506
158	2362	12494
159	2378	12485
160	2393	12475
161	2409	12464
162	2424	12448
163	2438	12430
164	2452	12412
165	2467	12397
166	2482	12381
167	2496	12365
168	2511	12350
169	2526	12333
170	2541	12319
171	2555	12302
172	2571	12291
173	2586	12277
174	2602	12270
175	2617	12254
176	2632	12239
177	2647	12227
178	2661	12208
179	2677	12196
180	2692	12182
181	2707	12167
182	2722	12153
183	2736	12135
184	2751	12122
185	2768	12116
186	2783	12102
187	2800	12097
188	2815	12080
189	2830	12066
190	2845	12051
191	2859	12035
192	2873	12014
193	2888	11999
194	2902	11983
195	2916	11964
196	2930	11946
197	2947	11937
198	2962	11923
199	2976	11905
200	2990	11887
201	3005	11871
202	3020	11858
203	3035	11843
204	3050	11828
205	3079	11869
206	3093	11851
207	3108	11834
208	3122	11817
209	3138	11808
210	3153	11792
211	3168	11776
212	3182	11760
213	3198	11747
214	3214	11735
215	3229	11723
216	3244	11708
217	3259	11693
218	3274	11678
219	3290	11665
220	3305	11650
221	3321	11638
222	3336	11625
223	3352	11612
224	3367	11597
225	3382	11584
226	3397	11568
227	3412	11555
228	3428	11542
229	3441	11521
230	3455	11503
231	3470	11489
232	3485	11474
233	3502	11465
234	3518	11452
235	3532	11435
236	3546	11417
237	3561	11401
238	3576	11387
239	3591	11374
240	3606	11356
241	3620	11340
242	3635	11324
243	3648	11305
244	3663	11290
245	3679	11277
246	3694	11263
247	3708	11246
248	3723	11231
249	3739	11217
250	3756	11208
251	3771	11194
252	3787	11182
253	3802	11168
254	3817	11153
255	3831	11135
256	3847	11122
257	3863	11110
258	3878	11097
259	3892	11079
260	3907	11062
261	3923	11050
262	3937	11034
263	3953	11020
264	3967	11003
265	3982	10990
266	3997	10974
267	4012	10958
268	4026	10941
269	4040	10924
270	4055	10908
271	4069	10892
272	4085	10879
273	4100	10864
274	4115	10849
275	4129	10831
276	4144	10818
277	4159	10802
278	4174	10787
279	4189	10771
280	4204	10757
281	4219	10742
282	4235	10731
283	4252	10719
284	4266	10703
285	4280	10687
286	4295	10672
287	4311	10658
288	4325	10641
289	4341	10628
290	4356	10613
291	4371	10598
292	4386	10584
293	4402	10571
294	4417	10556
295	4433	10544
296	4448	10530
297	4464	10516
298	4479	10501
299	4494	10486
300	4508	10470
301	4522	10452
302	4537	10437
303	4552	10422
304	4566	10405
305	4581	10389
306	4599	10381
307	4614	10368
308	4629	10353
309	4644	10337
310	4658	10321
311	4673	10306
312	4688	10291
313	4703	10276
314	4717	10259
315	4732	10243
316	4746	10227
317	4763	10215
318	4779	10202
319	4796	10192
320	4811	10177
321	4828	10165
322	4843	10151
323	4859	10139
324	4874	10123
325	4889	10109
326	4904	10093
327	4920	10081
328	4936	10067
329	4951	10052
330	4967	10039
331	4982	10024
332	4997	10009
333	5012	9994
334	5027	9979
335	5043	9965
336	5058	9952
337	5073	9936
338	5089	9924
339	5104	9909
340	5120	9895
341	5134	9879
342	5150	9866
343	5166	9852
344	5181	9838
345	5195	9821
346	5210	9805
347	5226	9791
348	5240	9775
349	5255	9759
350	5270	9744
351	5285	9730
352	5300	9715
353	5315	9700
354	5330	9685
355	5347	9672
356	5362	9657
357	5376	9641
358	5390	9625
359	5404	9608
360	5419	9592
361	5433	9576
362	5448	9561
363	5463	9546
364	5478	9530
365	5494	9517
366	5508	9500
367	5523	9486
368	5539	9472
369	5553	9456
370	5569	9442
371	5584	9427
372	5598	9411
373	5614	9397
374	5630	9383
375	5645	9369
376	5660	9353
377	5675	9339
378	5689	9322
379	5705	9309
380	5721	9295
381	5736	9280
382	5752	9267
383	5766	9250
384	5781	9234
385	5796	9219
386	5810	9204
387	5825	9188
388	5841	9175
389	5856	9160
390	5870	9144
391	5888	9133
392	5903	9118
393	5918	9103
394	5933	9088
395	5949	9074
396	5964	9059
397	5981	9047
398	5997	9033
399	6012	9019
400	6029	9006
401	6044	8991
402	6059	8976
403	6076	8964
404	6092	8950
405	6108	8937
406	6123	8922
407	6138	8906
408	6152	8890
409	6168	8876
410	6183	8861
411	6198	8846
412	6214	8832
413	6229	8818
414	6246	8805
415	6261	8789
416	6276	8775
417	6292	8761
418	6307	8746
419	6322	8730
420	6337	8716
421	6352	8700
422	6366	8684
423	6381	8669
424	6396	8654
425	6411	8638
426	6425	8622
427	6441	8608
428	6456	8593
429	6471	8578
430	6485	8562
431	6500	8547
432	6516	8533
433	6530	8516
434	6545	8501
435	6560	8485
436	6575	8470
437	6589	8454
438	6604	8440
439	6619	8424
440	6634	8409
441	6649	8394
442	6663	8378
443	6677	8362
444	6693	8348
445	6708	8332
446	6723	8318
447	6738	8302
448	6762	8298
449	6776	8282
450	6791	8266
451	6806	8252
452	6822	8238
453	6837	8223
454	6852	8208
455	6868	8193
456	6882	8177
457	6897	8162
458	6911	8146
459	6926	8130
460	6942	8116
461	6957	8101
462	6971	8085
463	6988	8073
464	7003	8057
465	7018	8042
466	7033	8027
467	7048	8012
468	7063	7997
469	7078	7982
470	7092	7966
471	7107	7950
472	7122	7935
473	7137	7920
474	7151	7904
475	7168	7891
476	7185	7878
477	7199	7862
478	7214	7847
479	7229	7832
480	7245	7817
481	7261	7803
482	7276	7788
483	7292	7774
484	7307	7760
485	7323	7744
486	7338	7729
487	7354	7716
488	7369	7701
489	7384	7685
490	7399	7670
491	7414	7655
492	7428	7639
493	7442	7623
494	7457	7608
495	7471	7591
496	7486	7576
497	7501	7562
498	7516	7546
499	7532	7532
500	7547	7517
501	7561	7501
502	7576	7486
503	7591	7470
504	7605	7455
505	7620	7439
506	7634	7424
507	7649	7408
508	7664	7393
509	7679	7378
510	7693	7362
511	7708	7347
512	7722	7330
513	7736	7315
514	7752	7300
515	7767	7285
516	7782	7270
517	7798	7256
518	7813	7241
519	7828	7226
520	7844	7211
521	7859	7196
522	7874	7181
523	7889	7166
524	7904	7152
525	7920	7137
526	7936	7123
527	7950	7107
528	7965	7092
529	7980	7076
530	7994	7061
531	8009	7046
532	8025	7031
533	8040	7016
534	8054	7000
535	8071	6986
536	8086	6972
537	8103	6958
538	8118	6944
539	8134	6929
540	8148	6913
541	8162	6897
542	8177	6882
543	8192	6867
544	8206	6851
545	8221	6836
546	8237	6821
547	8252	6807
548	8267	6791
549	8283	6777
550	8299	6763
551	8314	6748
552	8328	6732
553	8342	6716
554	8357	6701
555	8372	6686
556	8387	6670
557	8402	6655
558	8417	6640
559	8432	6625
560	8446	6609
561	8464	6596
562	8480	6582
563	8495	6567
564	8511	6552
565	8526	6537
566	8541	6522
567	8555	6507
568	8570	6491
569	8586	6477
570	8601	6462
571	8616	6447
572	8632	6432
573	8648	6418
574	8662	6402
575	8677	6387
576	8692	6372
577	8707	6357
578	8721	6341
579	8735	6325
580	8750	6310
581	8766	6296
582	8782	6281
583	8797	6266
584	8812	6251
585	8826	6235
586	8843	6221
587	8857	6206
588	8871	6190
589	8886	6175
590	8901	6160
591	8915	6144
592	8929	6128
593	8944	6113
594	8959	6098
595	8975	6083
596	8989	6068
597	9006	6054
598	9022	6040
599	9037	6024
600	9051	6009
601	9066	5993
602	9080	5978
603	9095	5963
604	9109	5947
605	9125	5932
606	9139	5917
607	9154	5902
608	9168	5886
609	9184	5871
610	9199	5857
611	9214	5841
612	9229	5826
613	9244	5811
614	9260	5797
615	9274	5781
616	9289	5766
617	9305	5751
618	9320	5737
619	9337	5722
620	9351	5707
621	9366	5692
622	9381	5677
623	9411	5670
624	9426	5655
625	9441	5640
626	9456	5625
627	9471	5610
628	9486	5595
629	9500	5579
630	9515	5564
631	9530	5549
632	9546	5534
633	9562	5520
634	9578	5505
635	9593	5490
636	9607	5474
637	9621	5459
638	9636	5444
639	9652	5429
640	9667	5414
641	9683	5400
642	9698	5384
643	9713	5369
644	9728	5354
645	9744	5340
646	9760	5325
647	9776	5310
648	9791	5295
649	9808	5281
650	9823	5266
651	9838	5251
652	9853	5236
653	9869	5221
654	9884	5206
655	9899	5191
656	9914	5176
657	9931	5161
658	9947	5147
659	9963	5132
660	9977	5117
661	9992	5102
662	10007	5086
663	10022	5071
664	10037	5056
665	10052	5041
666	10067	5026
667	10081	5010
668	10096	4995
669	10111	4980
670	10127	4965
671	10142	4950
672	10157	4935
673	10171	4919
674	10187	4905
675	10202	4889
676	10218	4875
677	10233	4860
678	10249	4845
679	10263	4830
680	10278	4814
681	10295	4800
682	10311	4785
683	10327	4771
684	10341	4755
685	10356	4740
686	10371	4725
687	10386	4710
688	10401	4694
689	10416	4679
690	10430	4664
691	10444	4648
692	10459	4633
693	10474	4618
694	10490	4603
695	10505	4588
696	10520	4573
697	10536	4558
698	10551	4543
699	10565	4527
700	10580	4512
701	10595	4497
702	10610	4482
703	10625	4467
704	10640	4452
705	10656	4437
706	10672	4422
707	10687	4407
708	10702	4392
709	10717	4377
710	10731	4362
711	10746	4346
712	10760	4331
713	10774	4316
714	10790	4300
715	10804	4285
716	10818	4270
717	10834	4255
718	10850	4240
719	10865	4225
720	10880	4210
721	10895	4195
722	10909	4179
723	10924	4164
724	10938	4149
725	10953	4133
726	10968	4118
727	10983	4103
728	10999	4088
729	11014	4073
730	11028	4058
731	11044	4043
732	11061	4029
733	11076	4014
734	11090	3998
735	11105	3983
736	11119	3968
737	11135	3953
738	11149	3937
739	11164	3922
740	11178	3907
741	11195	3892
742	11210	3877
743	11226	3862
744	11241	3847
745	11256	3832
746	11271	3817
747	11286	3802
748	11301	3787
749	11316	3772
750	11330	3756
751	11346	3741
752	11360	3726
753	11374	3711
754	11390	3696
755	11406	3681
756	11421	3666
757	11436	3651
758	11451	3636
759	11466	3620
760	11481	3605
761	11495	3590
762	11509	3575
763	11524	3559
764	11538	3544
765	11552	3529
766	11568	3514
767	11586	3499
768	11602	3485
769	11617	3470
770	11632	3455
771	11649	3440
772	11664	3425
773	11679	3410
774	11695	3395
775	11710	3380
776	11725	3365
777	11740	3350
778	11756	3335
779	11772	3320
780	11787	3305
781	11800	3289
782	11816	3274
783	11831	3259
784	11847	3244
785	11861	3229
786	11876	3214
787	11892	3199
788	11908	3184
789	11922	3169
790	11937	3154
791	11951	3138
792	11967	3123
793	11981	3108
794	11996	3093
795	12012	3078
796	12027	3063
797	12044	3048
798	12059	3033
799	12075	3018
800	12090	3003
801	12105	2988
802	12120	2973
803	12135	2958
804	12151	2943
805	12167	2928
806	12182	2913
807	12197	2898
808	12212	2883
809	12227	2868
810	12242	2852
811	12256	2837
812	12271	2822
813	12286	2807
814	12301	2792
815	12316	2777
816	12332	2762
817	12347	2747
818	12361	2732
819	12376	2716
820	12391	2701
821	12405	2686
822	12420	2671
823	12435	2656
824	12449	2640
825	12465	2625
826	12480	2610
827	12494	2595
828	12510	2580
829	12525	2565
830	12540	2550
831	12555	2535
832	12569	2519
833	12583	2504
834	12598	2489
835	12613	2474
836	12631	2459
837	12646	2444
838	12661	2429
839	12676	2414
840	12693	2399
841	12708	2384
842	12723	2369
843	12738	2354
844	12753	2339
845	12767	2324
846	12782	2309
847	12798	2293
848	12813	2278
849	12828	2263
850	12843	2248
851	12859	2233
852	12874	2218
853	12891	2203
854	12906	2188
855	12921	2173
856	12936	2158
857	12952	2143
858	12967	2128
859	12982	2113
860	12997	2098
861	13011	2083
862	13026	2067
863	13041	2052
864	13057	2037
865	13073	2022
866	13088	2007
867	13102	1992
868	13117	1977
869	13131	1962
870	13147	1947
871	13162	1932
872	13174	1916
873	13189	1901
874	13205	1886
875	13219	1871
876	13235	1856
877	13250	1841
878	13266	1826
879	13281	1811
880	13296	1795
881	13310	1780
882	13325	1765
883	13341	1750
884	13355	1735
885	13370	1720
886	13385	1705
887	13399	1690
888	13415	1674
889	13431	1660
890	13447	1645
891	13462	1630
892	13477	1614
893	13492	1599
894	13507	1584
895	13521	1569
896	13536	1554
897	13551	1539
898	13565	1524
899	13581	1509
900	13596	1493
901	13611	1478
902	13627	1463
903	13642	1448
904	13657	1433
905	13672	1418
906	13687	1403
907	13702	1388
908	13718	1373
909	13732	1358
910	13748	1343
911	13762	1327
912	13777	1312
913	13792	1297
914	13809	1282
915	13824	1267
916	13840	1252
917	13855	1237
918	13871	1222
919	13885	1207
920	13900	1192
921	13915	1177
922	13930	1162
923	13945	1147
924	13960	1131
925	13978	1117
926	13993	1102
927	14008	1086
928	14023	1071
929	14038	1056
930	14052	1041
931	14067	1026
932	14082	1011
933	14098	996
934	14112	981
935	14127	965
936	14142	950
937	14157	935
938	14173	920
939	14188	905
940	14204	890
941	14217	875
942	14232	860
943	14247	845
944	14262	830
945	14277	814
946	14293	799
947	14307	784
948	14320	769
949	14335	754
950	14351	739
951	14367	724
952	14382	709
953	14397	694
954	14411	679
955	14426	663
956	14441	648
957	14457	633
958	14471	618
959	14486	603
960	14500	588
961	14515	573
962	14530	558
963	14546	543
964	14561	528
965	14576	513
966	14590	497
967	14605	482
968	14621	467
969	14636	452
970	14651	437
971	14665	422
972	14680	407
973	14695	392
974	14710	377
975	14725	362
976	14740	347
977	14755	331
978	14770	316
979	14789	301
980	14804	286
981	14819	271
982	14834	256
983	14850	241
984	14864	226
985	14880	211
986	14897	196
987	14912	181
988	14928	166
989	14942	150
990	14957	135
991	14971	120
992	14986	105
993	15002	90
994	15016	75
995	15031	60
996	15046	45
997	15061	30
998	15079	15
999	15096	0
